pos,titel,artiest,jaar,Datum,datum2
976,Bicycle Race,Queen,1978,28-12-16 15:21,41270
975,Can't Hold Us,Macklemore & Ryan Lewis,2012,28-12-16 15:25,41270
974,You'll Never Walk Alone,Gerry & The Pacemakers,1963,28-12-16 15:28,41270
973,Linger,The Cranberries,1993,28-12-16 15:32,41270
972,Vriendschap,Het Goede Doel,1983,28-12-16 15:36,41270
971,Nightboat To Cairo,Madness,1980,28-12-16 15:40,41270
970,Maybe Tomorrow,Stereophonics,2003,28-12-16 15:44,41270
969,Do I Ever,Kensington,2016,28-12-16 15:47,41270
968,Le Freak,Chic,1978,28-12-16 15:51,41270
967,She Flies On Strange Wings,Golden Earring,1971,28-12-16 15:55,41270
966,Spicks And Specks,Bee Gees,1967,28-12-16 15:58,41270
965,Don't Speak,No Doubt,1996,28-12-16 16:13,41270
964,Road Trippin',Red Hot Chili Peppers,1999,28-12-16 16:16,41270
963,State Of Independence,Donna Summer,1982,28-12-16 16:21,41270
962,Animals,Martin Garrix,2013,28-12-16 16:24,41270
961,Fame,David Bowie,1975,28-12-16 16:27,41270
960,Lemon Tree,Fools Garden,1996,28-12-16 16:30,41270
959,Wonderful World,Sam Cooke,1960,28-12-16 16:32,41270
958,She's A Rainbow,The Rolling Stones,1967,28-12-16 16:36,41270
957,Back In Black,AC/DC,1980,28-12-16 16:41,41270
956,Trapped (live),Bruce Springsteen,1985,28-12-16 16:46,41270
955,L.A. Song (Out Of This Town),Beth Hart,1999,28-12-16 16:50,41270
954,When Love Comes To Town,U2 & B.B. King,1989,28-12-16 16:54,41270
953,Let It Go,James Bay,2015,28-12-16 16:58,41270
952,Love Like Blood,Killing Joke,1985,28-12-16 17:15,41270
951,I've Got Dreams To Remember,Otis Redding,1968,28-12-16 17:18,41270
950,Lay All Your Love On Me,ABBA,1981,28-12-16 17:23,41270
949,Lover Of The Light,Mumford & Sons,2012,28-12-16 17:27,41270
948,Hilversum 3,Herman van Veen,1984,28-12-16 17:31,41270
947,Uncertain Smile,The The,1984,28-12-16 17:38,41270
946,The One I Love,R.E.M.,1987,28-12-16 17:41,41270
945,Gaia,Valensia,1993,28-12-16 17:46,41270
944,Hurt,Christina Aguilera,2006,28-12-16 17:50,41270
943,Crazy On You,Heart,1977,28-12-16 17:55,41270
942,I Say A Little Prayer,Aretha Franklin,1968,28-12-16 17:58,41270
