pos,titel,artiest,jaar,Datum,datum2
1602,Wonderful Life,Black,1987,26-12-16 15:51,41268
1601,Malle Babbe,Rob de Nijs,1975,26-12-16 15:55,41268
1600,Grenade,Bruno Mars,2010,26-12-16 15:59,41268
1599,What A Fool Believes,The Doobie Brothers,1978,26-12-16 16:14,41268
1598,Scenes From An Italian Restaurant,Billy Joel,1977,26-12-16 16:21,41268
1597,In Between Days,The Cure,1985,26-12-16 16:24,41268
1596,Don't Stand So Close To Me,The Police,1980,26-12-16 16:28,41268
1595,I Can't Dance,Genesis,1992,26-12-16 16:32,41268
1594,Intro / Sweet Jane,Lou Reed,1974,26-12-16 16:40,41268
1593,Under My Thumb,The Rolling Stones,1966,26-12-16 16:44,41268
1592,Lay Lady Lay,Bob Dylan,1969,26-12-16 16:47,41268
1591,Father Figure,George Michael,1988,26-12-16 16:52,41268
1590,I Surrender,Saybia,2004,26-12-16 16:56,41268
1589,Teach Me How To Dance With You,Causes,2014,26-12-16 16:59,41268
1588,Why Can't This Be Love,Van Halen,1987,26-12-16 17:12,41268
1587,R U Kiddin' Me,Anouk,1999,26-12-16 17:15,41268
1586,In These Arms,Bon Jovi,1993,26-12-16 17:21,41268
1585,Rappers Delight,Sugarhill Gang,1979,26-12-16 17:24,41268
1584,We Don't Make The Wind Blow,The Common Linnets,2015,26-12-16 17:28,41268
1583,Sure Know Something,Kiss,1979,26-12-16 17:32,41268
1582,Dog Days Are Over,Florence & The Machine,2009,26-12-16 17:36,41268
1581,Twist In My Sobriety,Tanita Tikaram,1988,26-12-16 17:41,41268
1580,Sunshine Of Your Love,Cream,1968,26-12-16 17:45,41268
1579,Forever Autumn,Jeff Wayne & Justin Hayward,1978,26-12-16 17:49,41268
1578,Een Meisje Van 16,Boudewijn de Groot,1965,26-12-16 17:52,41268
1577,Soul Man,Sam & Dave,1967,26-12-16 17:55,41268
1576,World Of Hurt,Ilse DeLange,1998,26-12-16 17:59,41268
1575,Bad,Michael Jackson,1983,26-12-16 18:15,41268
1574,How Can We Hang On To A Dream,Tim Hardin,1967,26-12-16 18:18,41268
1573,The Drugs Don't Work,The Verve,1997,26-12-16 18:23,41268
1572,Roof Garden,Al Jarreau,1982,26-12-16 18:27,41268
1571,The Road To Mandalay,Robbie Williams,2001,26-12-16 18:30,41268
1570,Crazy In Love,Beyoncé Feat. Jay-Z,2002,26-12-16 18:35,41268
1569,Tuesday Afternoon,The Moody Blues,1968,26-12-16 18:39,41268
1568,No Good In Goodbye,The Script,2014,26-12-16 18:42,41268
1567,Little Talks,Of Monsters And Men,2012,26-12-16 18:45,41268
1566,Violet Hill,Coldplay,2008,26-12-16 18:49,41268
1565,Rock And Roll,Led Zeppelin,1971,26-12-16 18:52,41268
1564,We Can Work It Out,The Beatles,1965,26-12-16 18:54,41268
1563,Monday Monday,The Mamas & The Papas,1966,26-12-16 18:58,41268
1562,I'm Not So Tough,Ilse DeLange,1998,26-12-16 19:12,41268
1561,De Wedstrijd,Bram Vermeulen,1991,26-12-16 19:16,41268
1560,Wild Places,Duncan Browne,1979,26-12-16 19:22,41268
1559,La Vie En Rose,Grace Jones,1977,26-12-16 19:26,41268
1558,Traffic,Dj Tiesto,2003,26-12-16 19:29,41268
1557,Hey There Delilah,Plain White T's,2007,26-12-16 19:32,41268
1556,Foolish Games,Jewel,1997,26-12-16 19:36,41268
1555,Ouverture,The Who,1969,26-12-16 19:40,41268
1554,Strangers In The Night,Frank Sinatra,1966,26-12-16 19:43,41268
1553,Hou Vol Hou Vast,Bløf,2011,26-12-16 19:47,41268
1552,Are You Lonesome Tonight,Elvis Presley,1960,26-12-16 19:50,41268
1551,Dynamite,Mud,1974,26-12-16 19:53,41268
1550,Voulez-Vous,ABBA,1979,26-12-16 19:58,41268
1549,It's All Over Now,The Rolling Stones,1964,26-12-16 20:07,41268
1548,Blinded By The Light,Manfred Mann's Earth Band,1976,26-12-16 20:11,41268
1547,Don't Know Why,Norah Jones,2002,26-12-16 20:14,41268
1546,Voor Ik Vergeet,Spinvis,2002,26-12-16 20:19,41268
1545,Weekend Love,Golden Earring,1979,26-12-16 20:23,41268
1544,The Joker,Steve Miller Band,1973,26-12-16 20:26,41268
1543,Blurred Lines,Robin Thicke Feat. Pharrell,2013,26-12-16 20:31,41268
1542,When I'm Sixty Four,The Beatles,1967,26-12-16 20:33,41268
1541,Everybody,The Backstreet Boys,1997,26-12-16 20:37,41268
1540,Damn Those Eyes,Kane,1999,26-12-16 20:42,41268
1539,Reflektor,Arcade Fire,2013,26-12-16 20:47,41268
1538,Show Me The Way,Peter Frampton,1976,26-12-16 20:50,41268
1537,Love Is All,Roger Glover & Guests,1975,26-12-16 20:54,41268
1536,One Day I'll Fly Away,Randy Crawford,1980,26-12-16 20:58,41268
1535,Why,Annie Lennox,1992,26-12-16 21:11,41268
1534,You Win Again,Bee Gees,1987,26-12-16 21:15,41268
1533,All My Life,Foo Fighters,2002,26-12-16 21:19,41268
1532,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,1978,26-12-16 21:22,41268
1531,One Love - People Get Ready,Bob Marley & The Wailers,1984,26-12-16 21:25,41268
1530,God Save The Queen,Sex Pistols,1977,26-12-16 21:28,41268
1529,On The Border,Al Stewart,1977,26-12-16 21:32,41268
1528,Telkens Weer,Willeke Alberti,1975,26-12-16 21:35,41268
1527,Love On The Rocks,Neil Diamond,1980,26-12-16 21:39,41268
1526,New Shoes,Paolo Nutini,2006,26-12-16 21:42,41268
1525,Rock With You,Michael Jackson,1979,26-12-16 21:46,41268
1524,The Way It Is,Bruce Hornsby & The Range,1986,26-12-16 21:51,41268
1523,California Love,2Pac & Dr. Dre,1996,26-12-16 21:55,41268
1522,Fairground,Simply Red,1995,26-12-16 21:59,41268
1521,She's The One,Robbie Williams,1999,26-12-16 22:07,41268
1520,Yours Is No Disgrace,Yes,1971,26-12-16 22:17,41268
1519,So Far Away,Dire Straits,1985,26-12-16 22:22,41268
1518,The Way We Were,Barbra Streisand,1973,26-12-16 22:25,41268
1517,Cold As Ice,Foreigner,1977,26-12-16 22:29,41268
1516,Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel,1975,26-12-16 22:33,41268
1515,How Soon Is Now,The Smiths,1984,26-12-16 22:36,41268
1514,Weekend,Earth & Fire,1979,26-12-16 22:40,41268
1513,Waarom Nou Jij,Marco Borsato,1994,26-12-16 22:44,41268
1512,Somebody To Love,Jefferson Airplane,1970,26-12-16 22:47,41268
1511,Too Much Love Will Kill You,Brian May,1992,26-12-16 22:51,41268
1510,No Surrender,Kane,2009,26-12-16 22:54,41268
1509,Dancin' Fool,Frank Zappa,1979,26-12-16 22:58,41268
1508,Easy Lover,Phil Collins & Philip Bailey,1985,26-12-16 23:10,41268
1507,Behind Blue Eyes,The Who,1971,26-12-16 23:14,41268
1506,Treasure,Bruno Mars,2013,26-12-16 23:17,41268
1505,Late In The Evening,Paul Simon,1980,26-12-16 23:21,41268
1504,Sylvia,Focus,1972,26-12-16 23:25,41268
1503,No Son Of Mine,Genesis,1991,26-12-16 23:30,41268
1502,Yellow Submarine,The Beatles,1966,26-12-16 23:33,41268
1501,For No One,The Beatles,1966,26-12-16 23:35,41268
1500,I'll Be Over You,Toto,1986,26-12-16 23:39,41268
1499,Life In Technicolor II,Coldplay,2009,26-12-16 23:42,41268
1498,Monkey Gone To Heaven,Pixies,1989,26-12-16 23:45,41268
1497,Rosalyn,Vitesse,1982,26-12-16 23:49,41268
1496,Oye Como Va,Santana,1971,26-12-16 23:53,41268
1495,Ik Heb Je Lief,Stef Bos,1992,26-12-16 23:56,41268
1494,Suicide Is Painless,M.A.S.H.,1970,26-12-16 23:59,41268
1493,Yesterday Once More,Carpenters,1973,27-12-16 0:07,41269
1492,Rooster,Alice In Chains,1992,27-12-16 0:13,41269
1491,The Hardest Part,Coldplay,2006,27-12-16 0:18,41269
1490,Living Doll,Cliff Richard & The Young Ones,1986,27-12-16 0:22,41269
1489,Food For Thought,UB40,1980,27-12-16 0:26,41269
1488,Memories,Earth & Fire,1972,27-12-16 0:29,41269
1487,Bird Of Paradise,Snowy White,1984,27-12-16 0:34,41269
1486,I'm A Believer,The Monkees,1966,27-12-16 0:37,41269
1485,Als De Dag Van Toen,Reinhard Mey,1975,27-12-16 0:41,41269
1484,Wat Zou Je Doen,Marco Borsato & Ali B,2004,27-12-16 0:46,41269
1483,Verdammt Ich Lieb' Dich,Matthias Reim,1990,27-12-16 0:49,41269
1482,Blue Hotel,Chris Isaak,1987,27-12-16 0:52,41269
1481,The Saints Are Coming,U2 & Green Day,2006,27-12-16 0:56,41269
1480,A Town Called Malice,The Jam,1980,27-12-16 0:59,41269
1479,People Help The People,Birdy,2011,27-12-16 1:07,41269
1478,You Don't Fool Me,Queen,1996,27-12-16 1:11,41269
1477,Intergalactic,Beastie Boys,1998,27-12-16 1:15,41269
1476,Lady D'Arbanville,Cat Stevens,1970,27-12-16 1:18,41269
1475,Right Next Door,The Robert Cray Band,1987,27-12-16 1:23,41269
1474,Lego House,Ed Sheeran,2012,27-12-16 1:26,41269
1473,Beautiful Goodbye,Amanda Marshall,1995,27-12-16 1:30,41269
1472,One Of Us,ABBA,1981,27-12-16 1:34,41269
1471,Magnificent,U2,2009,27-12-16 1:39,41269
1470,Charlie Brown,Coldplay,2011,27-12-16 1:42,41269
1469,Jerusalem,Anouk,2005,27-12-16 1:46,41269
1468,Its The End Of The World,R.E.M.,1987,27-12-16 1:49,41269
1467,Kids,MGMT,2008,27-12-16 1:53,41269
1466,White Flag,Dido,2003,27-12-16 1:57,41269
1465,Emma,Hot Chocolate,1974,27-12-16 2:07,41269
1464,Hart Van Mijn Gevoel,De Kast,1999,27-12-16 2:11,41269
1463,Bend And Break,Keane,2005,27-12-16 2:15,41269
1462,Mushanga,Toto,1988,27-12-16 2:20,41269
1461,Sunrise,Norah Jones,2004,27-12-16 2:24,41269
1460,Thank God I'm A Country Boy,John Denver,1975,27-12-16 2:27,41269
1459,Les Lacs Du Connemara,Michel Sardou,1982,27-12-16 2:33,41269
1458,We Belong To The Night,Ellen Foley,1979,27-12-16 2:38,41269
1457,She's Leaving Home,The Beatles,1967,27-12-16 2:42,41269
1456,Stay,Rihanna Feat. Mikky Ekko,2013,27-12-16 2:46,41269
1455,De Blues Verlaat Je Nooit,De Dijk,2012,27-12-16 2:49,41269
1454,Hero,Family Of The Year,2014,27-12-16 2:52,41269
1453,Love Is All Around,Wet Wet Wet,1994,27-12-16 2:56,41269
1452,Heathens,Twenty One Pilots,2016,27-12-16 2:59,41269
1451,September Morn',Neil Diamond,1979,27-12-16 3:07,41269
1450,Times Like These,Foo Fighters,2002,27-12-16 3:11,41269
1449,At Seventeen,Janis Ian,1975,27-12-16 3:16,41269
1448,No Rain,Blind Melon,1993,27-12-16 3:20,41269
1447,In Dreams,Roy Orbison,1963,27-12-16 3:22,41269
1446,I Wanna Dance With Somebody,Whitney Houston,1987,27-12-16 3:27,41269
1445,Sometimes You Can't Make It On Your Own,U2,2004,27-12-16 3:32,41269
1444,Meester Prikkebeen,Boudewijn de Groot,1968,27-12-16 3:37,41269
1443,Lean On,Major Lazor & DJ Snake Feat Mo,2015,27-12-16 3:39,41269
1442,Superheroes,The Script,2014,27-12-16 3:44,41269
1441,Gute Nacht Freunde,Reinhard Mey,1974,27-12-16 3:46,41269
1440,Georgia On My Mind,Ray Charles,1960,27-12-16 3:50,41269
1439,Witch Doctor,De Staat,2014,27-12-16 3:53,41269
1438,Lady Jane,The Rolling Stones,1966,27-12-16 3:56,41269
1437,Cecilia,Simon & Garfunkel,1970,27-12-16 3:59,41269
1436,Carry On,"Crosby, Stills, Nash & Young",1970,27-12-16 4:08,41269
1435,Sing For Absolution,Muse,2004,27-12-16 4:11,41269
1434,I've Got You Under My Skin,Frank Sinatra,1956,27-12-16 4:15,41269
1433,Relight My Fire,Dan Hartman,1980,27-12-16 4:19,41269
1432,Burning Heart,Vandenberg,1983,27-12-16 4:23,41269
1431,Love Her Madly,The Doors,1971,27-12-16 4:26,41269
1430,Live To Tell,Madonna,1986,27-12-16 4:31,41269
1429,Skinny Love,Birdy,2011,27-12-16 4:34,41269
1428,Honesty,Billy Joel,1979,27-12-16 4:38,41269
1427,Summertime,Ella Fitzgerald & Louis Armstrong,1957,27-12-16 4:43,41269
1426,San Quentin (live At San Quentin),Johnny Cash,1969,27-12-16 4:46,41269
1425,On Top Of The World,Imagine Dragons,2013,27-12-16 4:49,41269
1424,Big Love,Fleetwood Mac,1987,27-12-16 4:52,41269
1423,Oxygene IV,Jean Michel Jarre,1977,27-12-16 4:56,41269
1422,Break On Through (To The Other Side),The Doors,1967,27-12-16 4:59,41269
1421,Budapest,George Ezra,2014,27-12-16 5:07,41269
1420,As Tears Go By,The Rolling Stones,1966,27-12-16 5:09,41269
1419,Pamela,Toto,1988,27-12-16 5:14,41269
1418,Broken Wings,Mr. Mister,1986,27-12-16 5:18,41269
1417,Mr. Blue,René Klijn,1993,27-12-16 5:22,41269
1416,If I Were A Boy,Beyoncé,2008,27-12-16 5:26,41269
1415,Royals,Lorde,2013,27-12-16 5:29,41269
1414,Weather With You,Crowded House,1992,27-12-16 5:33,41269
1413,Love In An Elevator,Aerosmith,1989,27-12-16 5:37,41269
1412,Both Sides Now,Joni Mitchell,1967,27-12-16 5:41,41269
1411,Follow The Sun,Xavier Rudd,2016,27-12-16 5:45,41269
1410,Sky And Sand,Paul Kalkbrenner,2008,27-12-16 5:49,41269
1409,Little Red Corvette,Prince,1983,27-12-16 5:52,41269
1408,Tom Traubert's Blues,Tom Waits,1976,27-12-16 5:58,41269
1407,You Want It Darker,Leonard Cohen,2016,27-12-16 6:10,41269
1406,Midnight Train To Georgia,Gladys Knight & The Pips,1973,27-12-16 6:14,41269
1405,Burning Love,Elvis Presley,1972,27-12-16 6:17,41269
1404,"Theme From 'New York, New York'",Frank Sinatra,1980,27-12-16 6:20,41269
1403,Banger Hart,Rob de Nijs,1996,27-12-16 6:25,41269
1402,Still Believe,Herman Brood,1978,27-12-16 6:28,41269
1401,Don't Let Me Be Misunderstood,Santa Esmeralda,1977,27-12-16 6:31,41269
1400,Wake Me Up Before You Gogo,Wham,1984,27-12-16 6:35,41269
1399,Holes,Passenger,2013,27-12-16 6:39,41269
1398,Stressed Out,Twenty One Pilots,2016,27-12-16 6:42,41269
1397,Praise You,Fatboy Slim,1998,27-12-16 6:46,41269
1396,Still Crazy After All These Years,Paul Simon,1975,27-12-16 6:49,41269
1395,The Day After Tomorrow,Saybia,2002,27-12-16 6:53,41269
1394,Bestel Mar,Rowwen Hèze,1992,27-12-16 6:56,41269
1393,Novocaine For The Soul,Eels,1996,27-12-16 6:59,41269
1392,Working On A Dream,Bruce Springsteen,2008,27-12-16 7:12,41269
1391,Spanish Stroll,Mink DeVille,1977,27-12-16 7:15,41269
1390,Fly Like An Eagle,Steve Miller Band,1976,27-12-16 7:18,41269
1389,The Highways Of My Life,The Isley Brothers,1973,27-12-16 7:22,41269
1388,Round Here,Counting Crows,1993,27-12-16 7:28,41269
1387,Song Of The Marching Children,Earth & Fire,1971,27-12-16 7:32,41269
1386,Thank You,Alanis Morissette,1998,27-12-16 7:36,41269
1385,Black Night,Deep Purple,1970,27-12-16 7:40,41269
1384,Kijk Omhoog,Nick & Simon,2007,27-12-16 7:42,41269
1383,Love Rears Its Ugly Head,Living Colour,1990,27-12-16 7:47,41269
1382,Home,Michael Bublé,2004,27-12-16 7:51,41269
1381,City Of Blinding Lights,U2,2004,27-12-16 7:55,41269
1380,Black Velvet,Alannah Myles,1990,27-12-16 7:59,41269
1379,Into Temptation,Crowded House,1989,27-12-16 8:15,41269
1378,Controversy,Prince,1981,27-12-16 8:18,41269
1377,In The Year 2525,Zager & Evans,1969,27-12-16 8:22,41269
1376,Brilliant Disguise,Bruce Springsteen,1987,27-12-16 8:26,41269
1375,Accidentally In Love,Counting Crows,2004,27-12-16 8:29,41269
1374,Angel Of Harlem,U2,1988,27-12-16 8:33,41269
1373,Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,27-12-16 8:37,41269
1372,Need You Now,Lady Antebellum,2010,27-12-16 8:41,41269
1371,Forbidden Colours,David Sylvian,1983,27-12-16 8:45,41269
1370,Looking Too Closely,Fink,2014,27-12-16 8:49,41269
1369,Jessica,Allman Brothers Band,1976,27-12-16 8:53,41269
1368,A Hard Day's Night,The Beatles,1964,27-12-16 8:55,41269
1367,Family Portrait,P!nk,2003,27-12-16 8:59,41269
1366,Don't Leave Me This Way,The Communards,1986,27-12-16 9:14,41269
1365,If I Was Your Girlfriend,Prince,1987,27-12-16 9:19,41269
1364,Waterloo Sunset,The Kinks,1967,27-12-16 9:22,41269
1363,Love On Top,Beyoncé,2011,27-12-16 9:26,41269
1362,Heartbreak Warfare,John Mayer,2010,27-12-16 9:31,41269
1361,Somebody Told Me,The Killers,2004,27-12-16 9:34,41269
1360,Scarlet Ribbons,The Cats,1969,27-12-16 9:37,41269
1359,A Ton Of Love,Editors,2013,27-12-16 9:41,41269
1358,You Can't Hurry Love,Phil Collins,1982,27-12-16 9:44,41269
1357,Dromen Zijn Bedrog,Marco Borsato,1994,27-12-16 9:48,41269
1356,Time After Time,Cyndi Lauper,1984,27-12-16 9:52,41269
1355,Mandy,Barry Manilow,1974,27-12-16 9:55,41269
1354,A Different Corner,George Michael,1986,27-12-16 9:59,41269
1353,Holiday,Green Day,2005,27-12-16 10:14,41269
1352,I Can't Make You Love Me,Bonnie Raitt,1991,27-12-16 10:19,41269
1351,Run To The Water,Live,2000,27-12-16 10:24,41269
1350,Jesus To A Child,George Michael,1996,27-12-16 10:30,41269
1349,Relax,Frankie Goes To Hollywood,1984,27-12-16 10:34,41269
1348,An American Trilogy,Elvis Presley,1972,27-12-16 10:39,41269
1347,My Baby Just Cares For Me,Nina Simone,1987,27-12-16 10:42,41269
1346,Stranger In Moscow,Michael Jackson,1996,27-12-16 10:48,41269
1345,Mr. Tambourine Man,The Byrds,1965,27-12-16 10:50,41269
1344,Kan Ik Iets Voor Je Doen?,De Dijk,2011,27-12-16 10:53,41269
1343,Wouldn't It Be Nice,The Beach Boys,1966,27-12-16 10:56,41269
1342,Take Your Time Girl,Niels Geusebroek,2013,27-12-16 10:59,41269
1341,Beast Of Burden,Bette Midler,1984,27-12-16 11:14,41269
1340,Same Love,Macklemore & Ryan Lewis,2013,27-12-16 11:18,41269
1339,Tous Les Memes,Stromae,2013,27-12-16 11:22,41269
1338,Can't Get It Out Of My Head,Electric Light Orchestra,1975,27-12-16 11:26,41269
1337,Mr. Bojangles,Sammy Davis Jr.,1972,27-12-16 11:32,41269
1336,Dear Mama,2Pac,1998,27-12-16 11:36,41269
1335,Nathalie,Gilbert Becaud,1964,27-12-16 11:41,41269
1334,Binnen,Marco Borsato,1999,27-12-16 11:45,41269
1333,West End Girls,Pet Shop Boys,1986,27-12-16 11:49,41269
1332,Sylvia's Mother,Dr. Hook,1972,27-12-16 11:53,41269
1331,Send Me An Angel,Scorpions,1991,27-12-16 11:57,41269
1330,Times Are Changing,Di-Rect,2009,27-12-16 12:11,41269
1329,Mia,Gorki,1992,27-12-16 12:17,41269
1328,Glycerine,Bush,1996,27-12-16 12:21,41269
1327,Daughter,Pearl Jam,1993,27-12-16 12:25,41269
1326,Down Man,Brainbox,1969,27-12-16 12:28,41269
1325,Human Touch,Bruce Springsteen,1992,27-12-16 12:33,41269
1324,Diggin,Kovacs,2015,27-12-16 12:37,41269
1323,Mmm Mmm Mmm Mmm,Crash Test Dummies,1994,27-12-16 12:41,41269
1322,Cry Baby,Janis Joplin,1971,27-12-16 12:45,41269
1321,Finding Out More,Haevn,2015,27-12-16 12:48,41269
1320,New York Minute,Don Henley,1989,27-12-16 12:55,41269
1319,Always Look On The Bright Side Of Life,Monty Python,1981,27-12-16 12:58,41269
1318,De Bestemming,Marco Borsato,1998,27-12-16 13:16,41269
1317,Try A Little Tenderness,Otis Redding,1966,27-12-16 13:19,41269
1316,The First Time Ever I Saw Your Face,Roberta Flack,1972,27-12-16 13:24,41269
1315,Vogue,Madonna,1990,27-12-16 13:28,41269
1314,Always On My Mind,Willie Nelson,1984,27-12-16 13:31,41269
1313,Hide In Your Shell,Supertramp,1974,27-12-16 13:38,41269
1312,Cry Me A River,Justin Timberlake,2002,27-12-16 13:43,41269
1311,I Won't Let You Down,Ph.D.,1981,27-12-16 13:47,41269
1310,7 Seconds,Youssou N'Dour & Neneh Cherry,1994,27-12-16 13:51,41269
1309,Love Shack,The B-52'S,1989,27-12-16 13:55,41269
1308,Don't Answer Me,The Alan Parsons Project,1984,27-12-16 13:59,41269
1307,House For Sale,Lucifer,1975,27-12-16 14:16,41269
1306,Off The Wall,Michael Jackson,1979,27-12-16 14:20,41269
1305,Anarchy In The Uk,Sex Pistols,1977,27-12-16 14:23,41269
1304,Lucky Man,Emerson Lake & Palmer,1971,27-12-16 14:28,41269
1303,It's A Sin,Pet Shop Boys,1987,27-12-16 14:33,41269
1302,Gangsta's Paradise,Coolio ft. L.V.,1995,27-12-16 14:37,41269
1301,Feeling Good,Nina Simone,1965,27-12-16 14:40,41269
1300,(They Long To Be) Close To You,Carpenters,1970,27-12-16 14:43,41269
1299,Counting Stars,OneRepublic,2013,27-12-16 14:48,41269
1298,Honky Tonk Women,The Rolling Stones,1969,27-12-16 14:51,41269
1297,Ich Bin Wie Du,Marianne Rosenberg,1976,27-12-16 14:54,41269
1296,Three Days In A Row,Anouk,2009,27-12-16 14:58,41269
1295,Why Does My Heart Feel So Bad?,Moby,1999,27-12-16 15:15,41269
1294,God Put A Smile Upon Your Face,Coldplay,2002,27-12-16 15:19,41269
1293,Fireflies,Owl City,2009,27-12-16 15:23,41269
1292,Breakeven,The Script,2008,27-12-16 15:28,41269
1291,Spirit Of Radio,Rush,1980,27-12-16 15:33,41269
1290,Une Belle Histoire,Paul de Leeuw & Alderliefste,2006,27-12-16 15:37,41269
1289,So Incredible,Ilse DeLange,2008,27-12-16 15:40,41269
1288,What Do You Mean,Justin Bieber,2015,27-12-16 15:43,41269
1287,Mijn Van Straat Geredde Roos,De Dijk,2008,27-12-16 15:47,41269
1286,Vertigo,U2,2004,27-12-16 15:50,41269
1285,Twist And Shout,The Beatles,1963,27-12-16 15:52,41269
1284,With You,Matt Simons,2013,27-12-16 15:56,41269
1283,Sammy,Ramses Shaffy,1966,27-12-16 15:58,41269
1282,Wat Zou Je Doen,Bløf,1998,27-12-16 16:14,41269
1281,Ruby,Kaiser Chiefs,2007,27-12-16 16:17,41269
1280,We Come 1,Faithless,2001,27-12-16 16:21,41269
1279,You'll Never Walk Alone,Lee Towers,1976,27-12-16 16:24,41269
1278,Terug Naar De Kust,Maggie MacNeal,1976,27-12-16 16:28,41269
1277,Cowboys And Angels,George Michael,1990,27-12-16 16:33,41269
1276,Watermensen,3JS,2008,27-12-16 16:36,41269
1275,Going To A Town,Rufus Wainwright,2007,27-12-16 16:40,41269
1274,One Vision,Queen,1985,27-12-16 16:44,41269
1273,Senza Una Donna,Zucchero Fornaciari,1988,27-12-16 16:49,41269
1272,Get Ready,Rare Earth,1970,27-12-16 16:52,41269
1271,Long As I Can See The Light,Creedence Clearwater Revival,1970,27-12-16 16:55,41269
1270,Hall Of Fame,The Script & will.i.am,2012,27-12-16 16:59,41269
1269,Stuck In A Moment,U2,2000,27-12-16 17:15,41269
1268,Most Beautiful Girl In The World,Prince,1994,27-12-16 17:19,41269
1267,Give Up Your Guns,The Buoys,1972,27-12-16 17:23,41269
1266,Don't Let The Sun Go Down On Me,George Michael & Elton John,1991,27-12-16 17:29,41269
1265,Born On The Bayou,Creedence Clearwater Revival,1969,27-12-16 17:32,41269
1264,She Will Be Loved,Maroon 5,2004,27-12-16 17:36,41269
1263,Jump Around,House Of Pain,1992,27-12-16 17:40,41269
1262,The Dolphin’s Cry,Live,1999,27-12-16 17:44,41269
1261,Move On Up,Curtis Mayfield,1971,27-12-16 17:47,41269
1260,Walking In Memphis,Marc Cohn,1991,27-12-16 17:51,41269
1259,Single Ladies,Beyoncé,2008,27-12-16 17:55,41269
1258,Dust Bowl,Joe Bonamassa,2011,27-12-16 17:58,41269
1257,Like The Way I Do (live),Melissa Etheridge,1993,27-12-16 18:16,41269
1256,Lessons In Love,Level 42,1986,27-12-16 18:20,41269
1255,Papa Can You Hear Me?,Barbra Streisand,1983,27-12-16 18:23,41269
1254,Sailing To Philadelphia,James Taylor & Mark Knopfler,2000,27-12-16 18:27,41269
1253,Tragedy,Bee Gees,1979,27-12-16 18:32,41269
1252,Maybe I'm Amazed,Paul McCartney & Wings,1977,27-12-16 18:38,41269
1251,Lovely Day,Bill Withers,1978,27-12-16 18:42,41269
1250,On The Road Again,Canned Heat,1968,27-12-16 18:45,41269
1249,Hey Ya!,Outkast,2004,27-12-16 18:49,41269
1248,Nothing Really Matters,Mr. Probz,2014,27-12-16 18:52,41269
1247,Voltooid Verleden Tijd,Is Ook Schitterend,1997,27-12-16 18:57,41269
1246,Aanzoek Zonder Ringen,Bløf,2007,27-12-16 19:11,41269
1245,Livin' Thing,Electric Light Orchestra,1976,27-12-16 19:15,41269
1244,The Eve Of The War,Jeff Wayne,1978,27-12-16 19:19,41269
1243,Because The Night,Patti Smith Group,1978,27-12-16 19:23,41269
1242,Apache,The Shadows,1960,27-12-16 19:26,41269
1241,Vlieg Met Me Mee,Paul de Leeuw,1992,27-12-16 19:31,41269
1240,Maggie May,Rod Stewart,1971,27-12-16 19:36,41269
1239,The Reflex,Duran Duran,1984,27-12-16 19:40,41269
1238,Faster,Within Temptation,2011,27-12-16 19:44,41269
1237,Time Stood Still,Bad English,1991,27-12-16 19:49,41269
1236,Sloop John B,The Beach Boys,1966,27-12-16 19:52,41269
1235,Back Home,Golden Earring,1970,27-12-16 19:56,41269
1234,Fluorescent Adolescent,Arctic Monkeys,2007,27-12-16 19:59,41269
1233,Moon Over Bourbon Street,Sting,1985,27-12-16 20:11,41269
1232,Appleknockers Flophouse,Cuby & The Blizzards,1969,27-12-16 20:14,41269
1231,Behind Blue Eyes,Limp Bizkit,2003,27-12-16 20:18,41269
1230,Rocket Man,Elton John,1972,27-12-16 20:23,41269
1229,Babel,Mumford & Sons,2013,27-12-16 20:26,41269
1228,Take The Long Way Home,Supertramp,1979,27-12-16 20:31,41269
1227,Just The Way You Are,Bruno Mars,2010,27-12-16 20:35,41269
1226,Stir It Up,Bob Marley & The Wailers,1979,27-12-16 20:39,41269
1225,More Than Words,Extreme,1991,27-12-16 20:42,41269
1224,Mull Of Kintyre,Paul McCartney & Wings,1977,27-12-16 20:47,41269
1223,Sowing The Seeds Of Love,Tears For Fears,1989,27-12-16 20:51,41269
1222,Fernando,ABBA,1975,27-12-16 20:55,41269
1221,"Knowing Me, Knowing You",ABBA,1977,27-12-16 20:59,41269
1220,You're Beautiful,James Blunt,2005,27-12-16 21:10,41269
1219,Guilty,Barbra Streisand,1980,27-12-16 21:14,41269
1218,Ordinary People,John Legend,2005,27-12-16 21:19,41269
